# short_name          long_name
  1 qeynos               South Qeynos
  2 qeynos2              North Qeynos
  3 qrg                  Surefall Glade
  4 qeytoqrg             Qeynos Hills
  5 highpass             Highpass Hold
  6 highkeep             HighKeep
  8 freportn             North Freeport
  9 freportw             West Freeport
 10 freporte             East Freeport
 11 runnyeye             Clan RunnyEye
 12 qey2hh1              West Karana
 13 northkarana          North Karana
 14 southkarana          South Karana
 15 eastkarana           East Karana
 16 beholder             Gorge of King Xorbb
 17 blackburrow          BlackBurrow
 18 paw                  Infected Paw
 19 rivervale            Rivervale
 20 kithicor             Kithicor Forest
 21 commons              West Commonlands
 22 ecommons             East Commonlands
 23 erudnint             Erudin Palace
 24 erudnext             Erudin
 25 nektulos             Nektulos Forest
 26 cshome               Sunset Home
 27 lavastorm            Lavastorm Mountains
 28 nektropos            Nektropos
 29 halas                Halas
 30 everfrost            Everfrost Peaks
 31 soldunga             Solusek's Eye
 32 soldungb             Nagafen's Lair
 33 misty                Misty Thicket
 34 nro                  North Ro
 35 sro                  South Ro
 36 befallen             Befallen
 37 oasis                Oasis of Marr
 38 tox                  Toxxulia Forest
 39 hole                 The Ruins of Old Paineel
 40 neriaka              Neriak Foreign Quarter
 41 neriakb              Neriak Commons
 42 neriakc              Neriak Third Gate
 43 neriakd              Neriak Palace
 44 najena               Najena
 45 qcat                 Qeynos Catacombs
 46 innothule            Innothule Swamp
 47 feerrott             The Feerrott
 48 cazicthule           Cazic-Thule
 49 oggok                Oggok
 50 rathemtn             Mountains of Rathe
 51 lakerathe            Lake Rathetear
 52 grobb                Gukta
 53 aviak                Aviak Village
 54 gfaydark             Greater Faydark
 55 akanon               Ak'Anon
 56 steamfont            Steamfont Mountains
 57 lfaydark             Lesser Faydark
 58 crushbone            Clan Crushbone
 59 mistmoore            Castle Mistmoore
 60 kaladima             Kaladim
 61 felwithea            Felwithe
 62 felwitheb            Felwithe
 63 unrest               Estate of Unrest
 64 kedge                Kedge Keep
 65 guktop               Upper Guk
 66 gukbottom            Lower Guk
 67 kaladimb             Kaladim
 68 butcher              Butcherblock Mountains
 69 oot                  Ocean of Tears
 70 cauldron             Dagnor's Cauldron
 71 airplane             Plane of Sky
 72 fearplane            Plane of Fear
 73 permafrost           Permafrost Keep
 74 kerraridge           Kerra Isle
 75 paineel              Paineel
 76 hateplane            The Plane of Hate
 77 arena                The Arena
 77 arena                The Arena
 78 fieldofbone          The Field of Bone
 79 warslikswood         Warsliks Wood
 80 soltemple            Temple of Solusek Ro
 81 droga                Temple of Droga
 82 cabwest              West Cabilis
 83 swampofnohope        Swamp of No Hope
 84 firiona              Firiona Vie
 85 lakeofillomen        Lake of Ill Omen
 86 dreadlands           Dreadlands
 87 burningwood          Burning Woods
 88 kaesora              Kaesora
 89 sebilis              Old Sebilis
 90 citymist             City of Mist
 91 skyfire              Skyfire Mountains
 92 frontiermtns         Frontier Mountains
 93 overthere            The Overthere
 94 emeraldjungle        The Emerald Jungle
 95 trakanon             Trakanon's Teeth
 96 timorous             Timorous Deep
 97 kurn                 Kurn's Tower
 98 erudsxing            Erud's Crossing
100 stonebrunt           Stonebrunt Mountains
101 warrens              The Warrens
102 karnor               Karnor's Castle
103 chardok              Chardok
104 dalnir               Dalnir
105 charasis             Howling Stones
106 cabeast              East Cabilis
107 nurga                Mines of Nurga
108 veeshan              Veeshan's Peak
109 veksar               Veksar
110 iceclad              Iceclad Ocean
111 frozenshadow         Tower of Frozen Shadow
112 velketor             Velketor's Labyrinth
113 kael                 Kael Drakkal
114 skyshrine            Skyshrine
115 thurgadina           Thurgadin
116 eastwastes           Eastern Wastes
117 cobaltscar           Cobalt Scar
118 greatdivide          Great Divide
119 wakening             The Wakening Land
120 westwastes           Western Wastes
121 crystal              Crystal Caverns
123 necropolis           Dragon Necropolis
124 templeveeshan        Temple of Veeshan
125 sirens               Siren's Grotto
126 mischiefplane        Plane of Mischief
127 growthplane          Plane of Growth
128 sleeper              Sleeper's Tomb
129 thurgadinb           Icewell Keep
130 erudsxing2           Marauder's Mire
150 shadowhaven          Shadow Haven
151 bazaar               The Bazaar
152 nexus                The Nexus
153 echo                 Echo Caverns
154 acrylia              Acrylia Caverns
155 sharvahl             Shar Vahl
156 paludal              Paludal Caverns
157 fungusgrove          Fungus Grove
158 vexthal              Vex Thal
159 sseru                Sanctus Seru
160 katta                Katta Castellum
161 netherbian           Netherbian Lair
162 ssratemple           Ssraeshza Temple
163 griegsend            Grieg's End
164 thedeep              The Deep
165 shadeweaver          Shadeweaver's Thicket
166 hollowshade          Hollowshade Moor
167 grimling             Grimling Forest
168 mseru                Marus Seru
169 letalis              Mons Letalis
170 twilight             The Twilight Sea
171 thegrey              The Grey
172 tenebrous            The Tenebrous Mountains
173 maiden               The Maiden's Eye
174 dawnshroud           Dawnshroud Peaks
175 scarlet              The Scarlet Desert
176 umbral               The Umbral Plains
179 akheva               Akheva Ruins
180 arena2               The Arena
181 jaggedpine           The Jaggedpine Forest
182 nedaria              Nedaria's Landing
183 tutorial             Tutorial Zone
184 load                 Loading
185 load2                Loading
186 hateplaneb           The Plane of Hate
187 shadowrest           Shadowrest
188 tutoriala            The Mines of Gloomingdeep
